来源页面URL,页面分类,页面标题,附件URL,文件类型
https://dibj.cn/fzpt/wytg/,创新服务-资源提供与申请,我要提供 - 数智北京创新中心,https://dibj.cn/images/zj_txsm.pdf,PDF
https://dibj.cn/fzpt/wytg/,创新服务-资源提供与申请,我要提供 - 数智北京创新中心,https://dibj.cn/images/zj_dbgf.pdf,PDF
https://dibj.cn/fzpt/wytg/tgzj/,创新服务-资源提供与申请,提供组件 - 数智北京创新中心,https://dibj.cn/images/zj_txsm.pdf,PDF
https://dibj.cn/fzpt/wytg/tgzj/,创新服务-资源提供与申请,提供组件 - 数智北京创新中心,https://dibj.cn/images/zj_dbgf.pdf,PDF
https://dibj.cn/fzpt/xwzx/2a30647b5d0b4c70936e255ec8795a44.html,新闻资讯,新闻资讯 - 数智北京创新中心,https://dibj.cn/fzpt/xwzx/2a30647b5d0b4c70936e255ec8795a44/ea636557660f401983cafafeadc21822.pdf,PDF
https://dibj.cn/fzpt/xwzx/483d8f7745e14951b6d872966a52097b.html,新闻资讯,新闻资讯 - 数智北京创新中心,https://dibj.cn/fzpt/xwzx/483d8f7745e14951b6d872966a52097b/bf9651f7ab5b422f85530da7cd84a544.doc,DOC
https://dibj.cn/fzpt/xwzx/483d8f7745e14951b6d872966a52097b.html,新闻资讯,新闻资讯 - 数智北京创新中心,https://dibj.cn/fzpt/xwzx/483d8f7745e14951b6d872966a52097b/4a9c731b0ba141ebaf9ec99c34e93964.doc,DOC
https://dibj.cn/fzpt/xwzx/483d8f7745e14951b6d872966a52097b.html,新闻资讯,新闻资讯 - 数智北京创新中心,https://dibj.cn/fzpt/xwzx/483d8f7745e14951b6d872966a52097b/ed96cf6da8614b2185e5877c6164b635.docx,DOCX
https://dibj.cn/fzpt/xwzx/690d0d5bd2b049e98bbf9b4a67a8ad45.html,新闻资讯,新闻资讯 - 数智北京创新中心,https://dibj.cn/fzpt/xwzx/690d0d5bd2b049e98bbf9b4a67a8ad45/348464701ff949219a2e25f992b45d37.docx,DOCX
https://dibj.cn/fzpt/xwzx/690d0d5bd2b049e98bbf9b4a67a8ad45.html,新闻资讯,新闻资讯 - 数智北京创新中心,https://dibj.cn/fzpt/xwzx/690d0d5bd2b049e98bbf9b4a67a8ad45/830e4a7c31b34077ac7868fc2d905fa5.docx,DOCX
https://dibj.cn/fzpt/xwzx/6a156d38b7e34be7ab47816cbe0bf3d4.html,新闻资讯,新闻资讯 - 数智北京创新中心,https://dibj.cn/fzpt/xwzx/6a156d38b7e34be7ab47816cbe0bf3d4/f9a4ad41a4b44f38b7a3fbef237c6a68.docx,DOCX
https://dibj.cn/fzpt/xwzx/6a156d38b7e34be7ab47816cbe0bf3d4.html,新闻资讯,新闻资讯 - 数智北京创新中心,https://dibj.cn/fzpt/xwzx/6a156d38b7e34be7ab47816cbe0bf3d4/74d958e7ff304075b2a176e363d6c6ce.docx,DOCX
https://dibj.cn/fzpt/xwzx/9eaed176efad45fbb9267cdeef74c0b4.html,新闻资讯,新闻资讯 - 数智北京创新中心,https://dibj.cn/fzpt/xwzx/9eaed176efad45fbb9267cdeef74c0b4/0e8175a3dc8a4bbe93c405add09bafdd.docx,DOCX
https://dibj.cn/fzpt/xwzx/9eaed176efad45fbb9267cdeef74c0b4.html,新闻资讯,新闻资讯 - 数智北京创新中心,https://dibj.cn/fzpt/xwzx/9eaed176efad45fbb9267cdeef74c0b4/2b5b5d615db84c36ad485ac025f9f1e7.docx,DOCX
https://dibj.cn/fzpt/xwzx/aa20825cb8434e83a245dded1fd86c43.html,新闻资讯,新闻资讯 - 数智北京创新中心,https://dibj.cn/fzpt/xwzx/aa20825cb8434e83a245dded1fd86c43/fe40906a413f464e856cc9eee7e85d5f.docx,DOCX
https://dibj.cn/fzpt/xwzx/aa20825cb8434e83a245dded1fd86c43.html,新闻资讯,新闻资讯 - 数智北京创新中心,https://dibj.cn/fzpt/xwzx/aa20825cb8434e83a245dded1fd86c43/13567e68ef2f4083b77bfbda008efb4e.docx,DOCX
https://dibj.cn/fzpt/xwzx/b72589ea5d78471bbc983dba6230dfc3.html,新闻资讯,新闻资讯 - 数智北京创新中心,https://dibj.cn/fzpt/xwzx/b72589ea5d78471bbc983dba6230dfc3/751be0d7ef1c4c1488bac99a99dddd22.docx,DOCX
https://dibj.cn/fzpt/xwzx/b72589ea5d78471bbc983dba6230dfc3.html,新闻资讯,新闻资讯 - 数智北京创新中心,https://dibj.cn/fzpt/xwzx/b72589ea5d78471bbc983dba6230dfc3/739953432be0490dbf1947b818aee67b.docx,DOCX
https://dibj.cn/fzpt/xwzx/c9d02b4716d94f1d8aafdaee982f82f8.html,新闻资讯,新闻资讯 - 数智北京创新中心,https://dibj.cn/fzpt/xwzx/c9d02b4716d94f1d8aafdaee982f82f8/74d30ada8a7d4745b88e1aea81150033.pdf,PDF
https://dibj.cn/fzpt/xwzx/c9d02b4716d94f1d8aafdaee982f82f8.html,新闻资讯,新闻资讯 - 数智北京创新中心,https://dibj.cn/fzpt/xwzx/c9d02b4716d94f1d8aafdaee982f82f8/c059146c8be147a29c52d66548b738ba.pdf,PDF
https://dibj.cn/fzpt/xwzx/e400e47fce1d444d831081b5381f46a9.html,新闻资讯,新闻资讯 - 数智北京创新中心,https://dibj.cn/fzpt/xwzx/e400e47fce1d444d831081b5381f46a9/16f8a46a10ab4b329884d20d88aefc88.docx,DOCX
