序号,接口表名,数据类别,id,biz_unique_id,catalog_id,catalog_name,data_name,dept_name,description,service_type,create_time,update_time,data_time,del_status,valid_status,sample_data_json,visit_count,data_source,favorited,key_advantages,来源接口
1,LAB_DATA,数字资源-联合实验室数据,678,1602762886791122962,"99999,99999999999986,","联合实验室数据,数智消费实验室,",线下消费数据,首都经济贸易大学,中国消费大数据由首都经济贸易大学与蚂蚁商业联盟共同建设，数据库实时汇总来自全国30个省、市、自治区的9000余家零售商超门店的消费信息。目前，已积累千亿条POS机消费数据，包括商品名称、售价、销售数量、销售时间等核心信息。,DATA,2026/8/14 14:13,2026/8/18 0:07,2026/8/14 14:14,0,0,"[
    {
        ""企业ID"": ""CAA-01"",
        ""门店ID"": 3,
        ""商品ID"": 1108060000000,
        ""商品条码"": 6972550000000,
        ""商品名称"": ""三得利乌龙茶饮料（无糖）1.25L"",
        ""品牌"": ""三得利"",
        ""一级分类ID"": 11,
        ""一级分类名称"": ""烟酒饮料"",
        ""二级分类ID"": 1108,
        ""二级分类名称"": ""一般饮料"",
        ""三级分类ID"": 110806,
        ""三级分类名称"": ""即饮茶饮料"",
        ""四级分类ID"": 11080608,
        ""四级分类名称"": ""乌龙茶饮料"",
        ""五级分类ID"": 11080608,
        ""五级分类名称"": ""乌龙茶饮料"",
        ""计量单位"": ""瓶"",
        ""商品规格"": ""1.25L"",
        ""销售单价"": 7.9,
        ""成本单价"": 6.52,
        ""销售数量"": 1,
        ""销售总金额"": 7.9,
        ""成本总金额"": 6.52,
        ""毛利总金额"": 1.38,
        ""创建时间"": ""12:08.4"",
        ""销售日期"": 20260802
    },
    {
        ""企业ID"": ""CAA-01"",
        ""门店ID"": 3,
        ""商品ID"": 1108060000000,
        ""商品条码"": 6937000000000,
        ""商品名称"": ""元气森林冰茶低糖葡萄柚冰绿茶900ml"",
        ""品牌"": ""元气森林"",
        ""一级分类ID"": 11,
        ""一级分类名称"": ""烟酒饮料"",
        ""二级分类ID"": 1108,
        ""二级分类名称"": ""一般饮料"",
        ""三级分类ID"": 110806,
        ""三级分类名称"": ""即饮茶饮料"",
        ""四级分类ID"": 11080610,
        ""四级分类名称"": ""其它茶饮料"",
        ""五级分类ID"": 11080610,
        ""五级分类名称"": ""其它茶饮料"",
        ""计量单位"": ""瓶"",
        ""商品规格"": ""900ml"",
        ""销售单价"": 3.99,
        ""成本单价"": 3.5,
        ""销售数量"": 1,
        ""销售总金额"": 3.99,
        ""成本总金额"": 3.5,
        ""毛利总金额"": 0.49,
        ""创建时间"": ""12:08.4"",
        ""销售日期"": 20260802
    },
    {
        ""企业ID"": ""CAA-01"",
        ""门店ID"": 3,
        ""商品ID"": 1303040000000,
        ""商品条码"": 4987240000000,
        ""商品名称"": ""龙角散薄荷草本润喉糖果"",
        ""品牌"": ""龙角"",
        ""一级分类ID"": 13,
        ""一级分类名称"": ""休闲食品"",
        ""二级分类ID"": 1303,
        ""二级分类名称"": ""糖果/巧克力/果冻"",
        ""三级分类ID"": 130304,
        ""三级分类名称"": ""特殊糖果"",
        ""四级分类ID"": 13030403,
        ""四级分类名称"": ""薄荷/润喉糖"",
        ""五级分类ID"": 13030403,
        ""五级分类名称"": ""薄荷/润喉糖"",
        ""计量单位"": ""袋"",
        ""商品规格"": ""（80g*6袋）*8盒"",
        ""销售单价"": 25,
        ""成本单价"": 17.5,
        ""销售数量"": 1,
        ""销售总金额"": 25,
        ""成本总金额"": 17.5,
        ""毛利总金额"": 7.5,
        ""创建时间"": ""12:08.4"",
        ""销售日期"": 20260802
    },
    {
        ""企业ID"": ""CAA-01"",
        ""门店ID"": 3,
        ""商品ID"": 1304040000000,
        ""商品条码"": 6926100000000,
        ""商品名称"": ""盐津铺子大魔王麻酱素毛肚(香辣麻酱味)200g"",
        ""品牌"": ""盐津铺子"",
        ""一级分类ID"": 13,
        ""一级分类名称"": ""休闲食品"",
        ""二级分类ID"": 1304,
        ""二级分类名称"": ""休闲小食"",
        ""三级分类ID"": 130404,
        ""三级分类名称"": ""豆干/菌类"",
        ""四级分类ID"": 13040407,
        ""四级分类名称"": ""面制品"",
        ""五级分类ID"": 13040407,
        ""五级分类名称"": ""面制品"",
        ""计量单位"": ""盒"",
        ""商品规格"": ""200g"",
        ""销售单价"": 6.25,
        ""成本单价"": 6.5,
        ""销售数量"": 4,
        ""销售总金额"": 25,
        ""成本总金额"": 26,
        ""毛利总金额"": -1,
        ""创建时间"": ""12:08.4"",
        ""销售日期"": 20260802
    },
    {
        ""企业ID"": ""CAA-01"",
        ""门店ID"": 3,
        ""商品ID"": 1304040000000,
        ""商品条码"": 6971260000000,
        ""商品名称"": ""卫龙魔芋爽麻酱味80g"",
        ""品牌"": ""卫龙"",
        ""一级分类ID"": 13,
        ""一级分类名称"": ""休闲食品"",
        ""二级分类ID"": 1304,
        ""二级分类名称"": ""休闲小食"",
        ""三级分类ID"": 130404,
        ""三级分类名称"": ""豆干/菌类"",
        ""四级分类ID"": 13040408,
        ""四级分类名称"": ""辣条类"",
        ""五级分类ID"": 13040408,
        ""五级分类名称"": ""辣条类"",
        ""计量单位"": ""包"",
        ""商品规格"": ""80g"",
        ""销售单价"": 5,
        ""成本单价"": 4,
        ""销售数量"": 1,
        ""销售总金额"": 5,
        ""成本总金额"": 4,
        ""毛利总金额"": 1,
        ""创建时间"": ""12:08.4"",
        ""销售日期"": 20260802
    },
    {
        ""企业ID"": ""CAA-01"",
        ""门店ID"": 3,
        ""商品ID"": 1305030000000,
        ""商品条码"": 6972640000000,
        ""商品名称"": ""王小卤虎皮凤爪卤香146g"",
        ""品牌"": """",
        ""一级分类ID"": 13,
        ""一级分类名称"": ""休闲食品"",
        ""二级分类ID"": 1305,
        ""二级分类名称"": ""休闲熟食"",
        ""三级分类ID"": 130503,
        ""三级分类名称"": ""禽类小食"",
        ""四级分类ID"": 13050301,
        ""四级分类名称"": ""凤爪"",
        ""五级分类ID"": 13050301,
        ""五级分类名称"": ""凤爪"",
        ""计量单位"": ""袋"",
        ""商品规格"": ""146g"",
        ""销售单价"": 18.5,
        ""成本单价"": 13.19,
        ""销售数量"": 1,
        ""销售总金额"": 18.5,
        ""成本总金额"": 13.19,
        ""毛利总金额"": 5.31,
        ""创建时间"": ""12:08.4"",
        ""销售日期"": 20260802
    },
    {
        ""企业ID"": ""CAA-01"",
        ""门店ID"": 3,
        ""商品ID"": 1501010000000,
        ""商品条码"": 6907990000000,
        ""商品名称"": ""低温奶促销装9.9"",
        ""品牌"": """",
        ""一级分类ID"": 15,
        ""一级分类名称"": ""日配"",
        ""二级分类ID"": 1501,
        ""二级分类名称"": ""保鲜品"",
        ""三级分类ID"": 150101,
        ""三级分类名称"": ""酸奶"",
        ""四级分类ID"": 15010102,
        ""四级分类名称"": ""调味酸奶"",
        ""五级分类ID"": 15010102,
        ""五级分类名称"": ""调味酸奶"",
        ""计量单位"": ""瓶"",
        ""商品规格"": """",
        ""销售单价"": 9.9,
        ""成本单价"": 8.55,
        ""销售数量"": 2,
        ""销售总金额"": 19.8,
        ""成本总金额"": 17.1,
        ""毛利总金额"": 2.7,
        ""创建时间"": ""12:08.4"",
        ""销售日期"": 20260802
    },
    {
        ""企业ID"": ""CAA-01"",
        ""门店ID"": 3,
        ""商品ID"": 2000000000000,
        ""商品条码"": 6921170000000,
        ""商品名称"": ""A)农夫山泉饮用天然水1.5L"",
        ""品牌"": ""农夫"",
        ""一级分类ID"": 11,
        ""一级分类名称"": ""烟酒饮料"",
        ""二级分类ID"": 1108,
        ""二级分类名称"": ""一般饮料"",
        ""三级分类ID"": 110807,
        ""三级分类名称"": ""水"",
        ""四级分类ID"": 11080701,
        ""四级分类名称"": ""国产矿泉水"",
        ""五级分类ID"": 11080701,
        ""五级分类名称"": ""国产矿泉水"",
        ""计量单位"": ""瓶"",
        ""商品规格"": ""1.5L"",
        ""销售单价"": 3.5,
        ""成本单价"": 2.42,
        ""销售数量"": 5,
        ""销售总金额"": 17.5,
        ""成本总金额"": 12.1,
        ""毛利总金额"": 5.4,
        ""创建时间"": ""12:08.4"",
        ""销售日期"": 20260802
    },
    {
        ""企业ID"": ""CAA-01"",
        ""门店ID"": 3,
        ""商品ID"": 2000000000000,
        ""商品条码"": 6902080000000,
        ""商品名称"": ""A娃哈哈冰红茶柠檬味茶饮料500ml"",
        ""品牌"": ""娃哈哈"",
        ""一级分类ID"": 11,
        ""一级分类名称"": ""烟酒饮料"",
        ""二级分类ID"": 1108,
        ""二级分类名称"": ""一般饮料"",
        ""三级分类ID"": 110806,
        ""三级分类名称"": ""即饮茶饮料"",
        ""四级分类ID"": 11080601,
        ""四级分类名称"": ""红茶饮料"",
        ""五级分类ID"": 11080601,
        ""五级分类名称"": ""红茶饮料"",
        ""计量单位"": ""瓶"",
        ""商品规格"": ""500ml"",
        ""销售单价"": 2.5,
        ""成本单价"": 1.99,
        ""销售数量"": 2,
        ""销售总金额"": 5,
        ""成本总金额"": 3.98,
        ""毛利总金额"": 1.02,
        ""创建时间"": ""12:08.4"",
        ""销售日期"": 20260802
    },
    {
        ""企业ID"": ""CAA-01"",
        ""门店ID"": 3,
        ""商品ID"": 2000000000000,
        ""商品条码"": 6901850000000,
        ""商品名称"": ""格力高百醇夹心饼干-红酒巧克力48g"",
        ""品牌"": ""格力高"",
        ""一级分类ID"": 13,
        ""一级分类名称"": ""休闲食品"",
        ""二级分类ID"": 1301,
        ""二级分类名称"": ""饼干"",
        ""三级分类ID"": 130108,
        ""三级分类名称"": ""单片\\涂层饼干"",
        ""四级分类ID"": 13010805,
        ""四级分类名称"": ""涂层饼干黄油味/巧克力味"",
        ""五级分类ID"": 13010805,
        ""五级分类名称"": ""涂层饼干黄油味/巧克力味"",
        ""计量单位"": ""盒"",
        ""商品规格"": ""48g"",
        ""销售单价"": 5.9,
        ""成本单价"": 6.1,
        ""销售数量"": 2,
        ""销售总金额"": 11.8,
        ""成本总金额"": 12.2,
        ""毛利总金额"": -0.4,
        ""创建时间"": ""12:08.4"",
        ""销售日期"": 20260802
    }
]",9,TRUE,FALSE,,https://dibj.cn/portal/api/common/calling/page?tableCode=LAB_DATA
2,LAB_DATA,数字资源-联合实验室数据,677,1602762886791122961,"99999,99999999999987,","联合实验室数据,国家人工智能应用中试基地(医疗)·北京,",多中心多模态医学影像高质量标注数据集,北京影禾医数科技有限公司,数据集覆盖CT、MR、DR等主流模态，内容涉及颅脑、胸部、腹部、脊柱、关节等多个临床重点方向。数据集核心内容包括两部分：一是面向解剖结构识别与空间理解的精细标注（器官分割、结构定位）；二是面向病变识别与临床筛查的目标标注（病灶检出、阴阳性分类）。所有数据均经过统一的脱敏清洗、结构化治理、标准化规则定义及多层质控审核。本数据集主要目的在于直接服务于医学影像AI模型的研发与训练，旨在为分割、检出、分类及多任务联合训练等场景提供规则统一、质量可控、可直接进入训练流程的高质量数据基础，有效缩短模型研发周期并提升算法性能上限。,DATA,2026/8/14 11:12,2026/8/18 9:04,2026/8/14 11:13,0,0,/images/联合实验室0814-2.png,8,TRUE,FALSE,,https://dibj.cn/portal/api/common/calling/page?tableCode=LAB_DATA
3,LAB_DATA,数字资源-联合实验室数据,676,1602762886791122960,"99999,99999999999987,","联合实验室数据,国家人工智能应用中试基地(医疗)·北京,",全胸部疾病CT影像筛查数据集,首都医科大学附属北京友谊医院,数据集以胸部CT影像及对应诊断报告为核心内容，覆盖肺癌（肺结节）、肺结核、气胸、胸膜积液、支气管扩张、间质性肺炎等常见胸部疾病。数据字段包含DICOM影像数据、检查模态、层厚以及来源报告中的“影像所见”与“影像诊断”等关键信息。数据集已完成严格的匿名化技术处理，确保隐私安全合规。,DATA,2026/8/14 11:02,2026/9/1 20:28,2026/8/14 11:03,0,0,/images/联合实验室0814-1.png,41,TRUE,FALSE,,https://dibj.cn/portal/api/common/calling/page?tableCode=LAB_DATA
4,LAB_DATA,数字资源-联合实验室数据,675,1602762886791122959,"99999,99999999999987,","联合实验室数据,国家人工智能应用中试基地(医疗)·北京,",肝胆临床决策高质量数据集,清华长庚医院,国内权威的拥有首个标准规范背书的肝胆胰专病全病程多模态数据集，为肝胆医学大模型训练、AI 辅助诊疗器械研发、肝胆新药真实世界循证研究提供坚实基础。数据集沉淀上万例肝胆胰标准化病例，覆盖肝癌、胆管癌、肝包虫、肝移植、钇90介入五大核心专病；整合5大类数据源，配套19大模块标准化病历字段；创新应用 CCoT 临床思维链标注，同步发布国内首套肝胆疾病行业数据规范。数据规模：上万例标准化病例，五大核心专病，5类数据源,DATA,2026/7/22 16:22,2026/8/25 14:50,2026/7/22 16:22,0,0,/images/肝胆图片1.png|||/images/肝胆图片2.png,37,TRUE,FALSE,"•肝胆数标，权威立项：发布中国首个肝癌、肝胆疾病标准化数据团体规范，入选工信部 AI 医疗器械揭榜挂帅优胜项目，行业权威性突出。 
•覆盖全域，多模态配对：覆盖肝、胆、胰全器官 10 余类常见病与疑难重症，包含多项精细化指标，填补肝胆领域完整诊疗决策链路数据空白。 
•思维链标注，赋能决策：区别于常规病灶标注，解决 AI 仅能识别影像、缺乏临床推理能力的行业痛点，是支撑大模型从 “影像识别” 升级为 “临床决策” 的核心稀缺数据。 
•五级质控 规范全流程：搭建统一全流程规范；采用标注选拔 - 培训 - 初标 - 复核 - 专家终审五级质控，标注一致性、完整性、可追溯性可量化评估。",https://dibj.cn/portal/api/common/calling/page?tableCode=LAB_DATA
5,LAB_DATA,数字资源-联合实验室数据,674,1602762886791122958,"99999,99999999999987,","联合实验室数据,国家人工智能应用中试基地(医疗)·北京,",真实世界脑卒中脑机接口高质量数据集,宣武医院,全球首个面向急性期脑卒中的标准化多模态脑机接口数据集，为脑机解码算法研发、卒中智能康复设备开发、神经功能恢复机制研究提供坚实基础。 累计超 6000 例全病程卒中标准化队列；同步整合高密度 EEG 脑电、fNIRS 近红外等6大类数据源；覆盖急性期脑卒中发病 1-30 天生活化康复范式，配套 NIHSS、mRS、MBI、MMSE 等全套卒中标准化功能量表。数据规模：超6000例全病程卒中队列；整合6大类多模态数据,DATA,2026/7/22 16:20,2026/9/1 20:28,2026/7/22 16:21,0,0,/images/真实图片1.png,14,TRUE,FALSE,"•全场景采，数据齐全：匹配全场景康复采集范式，解决脑机算法缺少真实卒中患者临床数据、仅依赖健康人样本的痛点。 
•六模同采，赋能算法：同步采集六个多维度信号，适配智能康复机器人、外骨骼、可穿戴脑机设备算法训练。 
•三方共治，合规标准：统一采集规范，由临床医护 + 脑机工程师 + 高校算法团队联合完成，数据完全符合 EEG-BIDS 国际开源标准，开箱即可用于模型训练。  
•分级赋权，多域适配：数据集设置三层分级数据权限，多格式数据按需供给，可支撑科研、企业算法研发、药企疗效评估多元应用场景。",https://dibj.cn/portal/api/common/calling/page?tableCode=LAB_DATA
6,LAB_DATA,数字资源-联合实验室数据,673,1602762886791122957,"99999,99999999999987,","联合实验室数据,国家人工智能应用中试基地(医疗)·北京,",神经免疫性疾病高质量数据集,宣武医院,国内权威的神经免疫性疾病全病程多模态脑电高质量数据集，为神经免疫疾病 AI 诊断、脑网络机制研究、闭环神经调控医疗器械研发提供坚实基础。数据集覆盖全国 67 家医疗分中心，包含超 5000 例神经免疫疾病全病程样本，联合全国 13 家中心构建 256 导高密度脑电 + 多序列影像双数据库，整合7类数据源，配套20余项国际通用神经专科量表。数据规模：覆盖67家中心；超5000例全病程样本；整合7类数据源及20余项量表。,DATA,2026/7/22 16:18,2026/8/25 16:57,2026/7/22 16:19,0,0,/images/神经图片1.png,17,TRUE,FALSE,"•采集规范：统一 eCRF、SOP、EDC及数据字典与命名规则；规范脑电参数、导联体系、采样率与访视节点
•隐私保护：最小必要原则，删除身份识别信息；脑电、影像与临床字段分层脱敏，映射表分离保存
•质量控制：自动核查—人工复核—专家终审三级质控；生成脑电质控报告，覆盖有效时长、坏导联、伪迹比例
•伦理合规：伦理审查、知情同意与授权核验；协议明确用途、期限、保密义务，禁止再识别与使用后处置",https://dibj.cn/portal/api/common/calling/page?tableCode=LAB_DATA
7,LAB_DATA,数字资源-联合实验室数据,672,1602762886791122956,"99999,99999999999987,","联合实验室数据,国家人工智能应用中试基地(医疗)·北京,",多中心医疗术语与标准模板数据集,北京地坛医院,国内权威的多中心医疗术语与标准模板数据集，为病历文书规范化书写、智能临床辅助系统与医学教育提供坚实基础。数据集包含60余万条词条、9000余条病历模板，覆盖4个一级学科、14个二级学科、17个三级学科及440余个病种。数据规模：60余万条词条，9000余条病历模板，覆盖440余个病种,DATA,2026/7/22 16:16,2026/8/25 16:57,2026/7/22 16:17,0,0,/images/多中心图片1.png|||/images/多中心图片2.png,14,TRUE,FALSE,"•数据体量大:
4个一级学科、14个二级学科专业、17个三级学科专业；
440+个病种数据；
9000+条病历模板数据；
60+万条词条数据
•数据维度广：
全病历模板；标准化术语库；实用工具集
•数据质量高：
来源：多中心数据
质控：“三审三校”
标签：加工处理、逻辑关联",https://dibj.cn/portal/api/common/calling/page?tableCode=LAB_DATA
8,LAB_DATA,数字资源-联合实验室数据,671,1602762886791122955,"99999,99999999999987,","联合实验室数据,国家人工智能应用中试基地(医疗)·北京,",“友谊健康数据科学”高质量数据集,北京友谊医院,国内权威的基于真实世界诊疗与体检多源数据整合的“健康-疾病”高质量数据集，为健康管理、疾病预测与临床研究提供坚实基础。本数据集包含近190万条记录，整合体检与就诊的HIS、LIS、PACS等7类数据源，涵盖心血管、代谢等7大系统251个结构化指标及21类ICD-10疾病，经AI治理与专家审核，提供连续多年健康-疾病时序数据，适用于疾病预测模型训练、健康管理研究与真实世界证据生成。数据规模：近190万条记录；7类数据源整合；251个结构化指标,DATA,2026/7/22 16:14,2026/8/25 14:50,2026/7/22 16:15,0,0,/images/友谊图片1.png|||/images/眼科图片2.png|||/images/友谊图片3.png,17,TRUE,FALSE,"•多源融合，时序完整：整合体检、就诊等7类数据源，覆盖同一患者连续多年健康与疾病全程记录，填补国内“健康-疾病”衔接数据的空白。
•规模可观，维度丰富：近190万条记录，涵盖251个结构化指标及21类ICD-10疾病，经治理后形成标准化宽表，兼容国际大规模数据库模式。
•AI+专家双轮治理：独创规则引擎与专家知识库，实现亿级数据批量清洗、异构字段统一、非结构文本自动标注，准确率超95%，治理效率显著提升。
•合规完备，即取可用：通过伦理、人遗认证，获国家医学研究备案及北数所挂牌，数据匿名化处理，可安全交付用于科研与模型训练。",https://dibj.cn/portal/api/common/calling/page?tableCode=LAB_DATA
9,LAB_DATA,数字资源-联合实验室数据,670,1602762886791122954,"99999,99999999999987,","联合实验室数据,国家人工智能应用中试基地(医疗)·北京,",眼科医疗高质量数据集,北京同仁医院,国内首个权威、高质量、精细化标注的眼科多模态全构型定量数据库，为AI辅助诊断与临床科研提供坚实基础。本数据集包含超10万例人群队列及多病种临床样本，覆盖从眼表至视网膜全构型873个量化参数，涵盖白内障、青光眼、黄斑病变、糖尿病视网膜病变等核心病种，经同仁医院专家团队“三标两审”质控及严格匿名化脱敏，提供多模态影像与结构化临床数据，适用于AI模型训练、算法验证及真实世界研究。数据规模：超10万例人群队列；873个量化参数,DATA,2026/7/22 16:13,2026/8/14 11:13,2026/7/22 16:13,0,0,/images/眼科图片1.png|||/images/眼科图片2.png,13,TRUE,FALSE,"•数据维度全：全身一般指标 + 眼部全维度影像量化指标联动
•标准化程度高：遵循国际/国内指南，全流程标准化管控
•临床真实性强：源于同仁医院真实诊疗场景，专业医师审核
•数据质量可控：多维度质控体系，保障完整、一致、准确
•合规性有保障：通过伦理审查，严格匿名化脱敏，符合规范
",https://dibj.cn/portal/api/common/calling/page?tableCode=LAB_DATA
10,LAB_DATA,数字资源-联合实验室数据,669,1602762886791122953,"99999,99999999999987,","联合实验室数据,国家人工智能应用中试基地(医疗)·北京,",结核病专病影像数据集,北京市胸科医院,"全球首个权威、高质量、精细化标注的肺结核胸部CT影像数据集，为AI辅助诊断与科研提供坚实基础。本数据集包含20,000例高质量标注的肺结核胸部CT影像，涵盖各型结核、全病程阶段，经过严格脱敏与标准化处理，提供像素级精细标注与多模态临床数据，适用于AI模型训练、算法验证与真实世界研究。数据规模：2万例，5.5TB。",DATA,2026/7/22 16:04,2026/8/25 16:57,2026/7/22 16:06,0,0,"/images/结核图片1.png|||/images/结核图片2.png
",15,TRUE,FALSE,"•规模与质量：20,000例全标注病例，覆盖各类肺结核影像表现，数据量达5.5TB。
•标注精细：17个语义标签，像素级三维分割，支持病灶量化与空间分析。
•合规可信：通过伦理审查，全面脱敏，符合国家数据安全与隐私保护法规。
•标准化生产：统一影像参数与标注流程，确保数据一致性与可复现性。
•临床代表性：来源权威胸科医院，涵盖全年龄段、不同病情与治疗状态。",https://dibj.cn/portal/api/common/calling/page?tableCode=LAB_DATA
