序号,接口表名,数据类别,id,biz_unique_id,product_name,description,description_plain,product_tags,org_name,goods_industry,original_url,create_time,update_time,del_status,valid_status,visit_count,favorited,来源接口
1,SOCIAL_DATA,数字资源-社会侧数据,2794,bss_4,铁路货车闸瓦运用故障数据,集合国家能源集团自备重载铁路货车闸瓦运用故障数据，完成闸瓦运用故障专题数据的监测、持续跟踪及数据资产归档。对闸瓦运用故障进行分级分类，为铁路货车安全关键配件闸瓦质量提供精准故障源头数据,集合国家能源集团自备重载铁路货车闸瓦运用故障数据，完成闸瓦运用故障专题数据的监测、持续跟踪及数据资产归档。对闸瓦运用故障进行分级分类，为铁路货车安全关键配件闸瓦质量提供精准故障源头数据,"货车,货车",国能铁路装备有限责任公司,无,https://mall.bjidex.com/transaction-management/data-product-details?productId=bss_4,2026-06-24 14:40:16,2026-06-24 14:40:16,0,0,0,false,https://dibj.cn/portal/api/common/calling/page?tableCode=SOCIAL_DATA
2,SOCIAL_DATA,数字资源-社会侧数据,2793,bss_23,铁路货车轴承TADS故障数据,集合国家能源集团自备重载铁路货车轴承TADS故障数据，完成唯一ID的轴承TADS故障专题数据的监测、持续跟踪及数据资产归档，分级分类，为铁路货车安全关键配件轴承质量提供精准故障源头数据。,集合国家能源集团自备重载铁路货车轴承TADS故障数据，完成唯一ID的轴承TADS故障专题数据的监测、持续跟踪及数据资产归档，分级分类，为铁路货车安全关键配件轴承质量提供精准故障源头数据。,"制造,交通,制造,交通",国能铁路装备有限责任公司,无,https://mall.bjidex.com/transaction-management/data-product-details?productId=bss_23,2026-06-24 14:40:16,2026-06-24 14:40:16,0,0,0,false,https://dibj.cn/portal/api/common/calling/page?tableCode=SOCIAL_DATA
3,SOCIAL_DATA,数字资源-社会侧数据,2792,bss_22,铁路货车轴承运用故障数据,集合国家能源集团自备重载铁路货车闸瓦运用故障数据，完成闸瓦运用故障专题数据的监测、持续跟踪及数据资产归档。对闸瓦运用故障进行分级分类，为铁路货车安全关键配件闸瓦质量提供精准故障源头数据。,集合国家能源集团自备重载铁路货车闸瓦运用故障数据，完成闸瓦运用故障专题数据的监测、持续跟踪及数据资产归档。对闸瓦运用故障进行分级分类，为铁路货车安全关键配件闸瓦质量提供精准故障源头数据。,"制造,交通,制造,交通",国能铁路装备有限责任公司,无,https://mall.bjidex.com/transaction-management/data-product-details?productId=bss_22,2026-06-24 14:40:16,2026-06-24 14:40:16,0,0,0,false,https://dibj.cn/portal/api/common/calling/page?tableCode=SOCIAL_DATA
4,SOCIAL_DATA,数字资源-社会侧数据,2791,bss_21,铁路货车轴承THDS故障数据,集合国家能源集团自备重载铁路货车轴承检THDS故障数据，完成基于唯一ID的轴承THDS故障专题数据的监测、持续跟踪及数据资产归档，分级分类，为铁路货车安全关键配件轴承质量提供精准故障源头数据。,集合国家能源集团自备重载铁路货车轴承检THDS故障数据，完成基于唯一ID的轴承THDS故障专题数据的监测、持续跟踪及数据资产归档，分级分类，为铁路货车安全关键配件轴承质量提供精准故障源头数据。,"制造,交通,制造,交通",国能铁路装备有限责任公司,无,https://mall.bjidex.com/transaction-management/data-product-details?productId=bss_21,2026-06-24 14:40:16,2026-06-24 14:40:16,0,0,0,false,https://dibj.cn/portal/api/common/calling/page?tableCode=SOCIAL_DATA
5,SOCIAL_DATA,数字资源-社会侧数据,2790,bss_20,铁路货车轴承检修故障数据,集合国家能源集团自备重载铁路货车轴承检修检查故障数据，完成基于唯一ID的轴承检修故障专题数据的监测、持续跟踪及数据资产归档，分级分类，为铁路货车安全关键配件轴承质量提供精准故障源头数据。,集合国家能源集团自备重载铁路货车轴承检修检查故障数据，完成基于唯一ID的轴承检修故障专题数据的监测、持续跟踪及数据资产归档，分级分类，为铁路货车安全关键配件轴承质量提供精准故障源头数据。,"制造,交通,制造,交通",国能铁路装备有限责任公司,无,https://mall.bjidex.com/transaction-management/data-product-details?productId=bss_20,2026-06-24 14:40:16,2026-06-24 14:40:16,0,0,0,false,https://dibj.cn/portal/api/common/calling/page?tableCode=SOCIAL_DATA
6,SOCIAL_DATA,数字资源-社会侧数据,2789,bss_17,城市轨道交通产品,"1、监控分析（站内实时客流监测、换乘客流监测、进出口客流监测、站外排队监测）
2、乘客分析（客户画像分析、乘客换乘分析、特殊人群分析、车站应急管理）",1、监控分析（站内实时客流监测、换乘客流监测、进出口客流监测、站外排队监测）2、乘客分析（客户画像分析、乘客换乘分析、特殊人群分析、车站应急管理）,"工商,司法,行政,金融,制造,交通,互联网平台,新闻媒体,其他,工商,司法,行政,金融,制造,交通,互联网平台,新闻媒体,其他",中国移动通信集团北京有限公司,无,https://mall.bjidex.com/transaction-management/data-product-details?productId=bss_17,2026-06-24 14:40:16,2026-06-24 14:40:16,0,0,0,false,https://dibj.cn/portal/api/common/calling/page?tableCode=SOCIAL_DATA
7,SOCIAL_DATA,数字资源-社会侧数据,2788,bss_16,商业洞察报告,对商场整体客流进行分析，主要包括：客流走势、进店客流、新用户比例、驻留时长、访问频次。对某商超客流、周边客群、竞品客群的洞察，助力商超实现对客群的精准把控，推动商超转型升级、优化服务。,对商场整体客流进行分析，主要包括：客流走势、进店客流、新用户比例、驻留时长、访问频次。对某商超客流、周边客群、竞品客群的洞察，助力商超实现对客群的精准把控，推动商超转型升级、优化服务。,"工商,司法,行政,金融,电信,制造,互联网平台,新闻媒体,跨境,工商,司法,行政,金融,电信,制造,互联网平台,新闻媒体,跨境",中国移动通信集团北京有限公司,无,https://mall.bjidex.com/transaction-management/data-product-details?productId=bss_16,2026-06-24 14:40:16,2026-06-24 14:40:16,0,0,0,false,https://dibj.cn/portal/api/common/calling/page?tableCode=SOCIAL_DATA
8,SOCIAL_DATA,数字资源-社会侧数据,2787,bss_29,铁路货车车轮运用故障数据,集合国家能源集团自备重载铁路货车车轮运用检查故障数据，完成基于唯一ID的车轮运用故障专题数据的监测、持续跟踪及数据资产归档。对车轮运用故障进行分级分类，为铁路货车安全关键配件车轮提供精准故障源头数据。,集合国家能源集团自备重载铁路货车车轮运用检查故障数据，完成基于唯一ID的车轮运用故障专题数据的监测、持续跟踪及数据资产归档。对车轮运用故障进行分级分类，为铁路货车安全关键配件车轮提供精准故障源头数据。,"制造,交通,制造,交通",国能铁路装备有限责任公司,无,https://mall.bjidex.com/transaction-management/data-product-details?productId=bss_29,2026-06-24 14:40:16,2026-06-24 14:40:16,0,0,0,false,https://dibj.cn/portal/api/common/calling/page?tableCode=SOCIAL_DATA
9,SOCIAL_DATA,数字资源-社会侧数据,2786,bss_28,铁路货车车轮检修故障数据,集合国家能源集团自备重载铁路货车车轮检修故障数据，完成基于唯一ID的车轮检修故障专题数据的监测、持续跟踪及数据资产归档。对车轮检修故障进行分级分类，为铁路货车安全关键配件车轮提供精准故障源头数据。,集合国家能源集团自备重载铁路货车车轮检修故障数据，完成基于唯一ID的车轮检修故障专题数据的监测、持续跟踪及数据资产归档。对车轮检修故障进行分级分类，为铁路货车安全关键配件车轮提供精准故障源头数据。,"制造,交通,制造,交通",国能铁路装备有限责任公司,无,https://mall.bjidex.com/transaction-management/data-product-details?productId=bss_28,2026-06-24 14:40:16,2026-06-24 14:40:16,0,0,0,false,https://dibj.cn/portal/api/common/calling/page?tableCode=SOCIAL_DATA
10,SOCIAL_DATA,数字资源-社会侧数据,2785,bss_27,铁路货车车轮TPDS故障数据,集合国家能源集团自备重载铁路货车车轮TPDS故障，基于唯一ID的车轮TPDS故障专题数据的监测、持续跟踪及数据资产归档。对车轮TPDS故障分级分类，为铁路货车安全关键配件车轮质量提供精准故障源头数据。,集合国家能源集团自备重载铁路货车车轮TPDS故障，基于唯一ID的车轮TPDS故障专题数据的监测、持续跟踪及数据资产归档。对车轮TPDS故障分级分类，为铁路货车安全关键配件车轮质量提供精准故障源头数据。,"制造,交通,制造,交通",国能铁路装备有限责任公司,无,https://mall.bjidex.com/transaction-management/data-product-details?productId=bss_27,2026-06-24 14:40:16,2026-06-24 14:40:16,0,0,0,false,https://dibj.cn/portal/api/common/calling/page?tableCode=SOCIAL_DATA
