接口表名,数据类别,字段名,非空条数,非空率,示例值
GOV_DATA,数字资源-政府侧数据,id,10659,1,10534
GOV_DATA,数字资源-政府侧数据,biz_unique_id,10659,1,CH-AH-AM-AC
GOV_DATA,数字资源-政府侧数据,data_code,10659,1,CH-AH-AM-AC
GOV_DATA,数字资源-政府侧数据,data_name,10659,1,药品批准信息（归集中）
GOV_DATA,数字资源-政府侧数据,dept_name,10659,1,北京市药品监督管理局
GOV_DATA,数字资源-政府侧数据,service_type,10659,1,DATA
GOV_DATA,数字资源-政府侧数据,is_shared,10659,1,无条件共享
GOV_DATA,数字资源-政府侧数据,is_open,10659,1,是
GOV_DATA,数字资源-政府侧数据,sample_data_json,8863,0.831503893423398,"[{""药品批准文号"":""国药准字H202163602"",""药品有效期"":""2027-01-23"",""注册分类"":""中药品种"",""剂型"":""丸剂"",""药品通用名称"":""氯雷他定片"",""药品持有人名称"":""北京医保全新大药房有限责任公司""},{"
GOV_DATA,数字资源-政府侧数据,sample_data_keyword,8860,0.8312224411295619,国药准字H202163602。药品有效期。中药品种。丸剂。氯雷他定片。北京医保全新大药房有限责任公司；国药准字H202113239。药品有效期。中药品种。颗粒剂。氯雷他定片。北京金象大药房医药连锁有限责任公司
GOV_DATA,数字资源-政府侧数据,data_url,1134,0.10638896707008162,http://data.beijing.gov.cn/zyml/ajg/sypjdglj/5884409951b242d29c8c96414ca8a75e.htm
GOV_DATA,数字资源-政府侧数据,create_time,10659,1,2026-06-05 23:59:59
GOV_DATA,数字资源-政府侧数据,update_time,10659,1,2026-09-02 18:35:28
GOV_DATA,数字资源-政府侧数据,data_time,10563,0.9909935265972417,2024-02-08 11:39:47
GOV_DATA,数字资源-政府侧数据,del_status,10659,1,0
GOV_DATA,数字资源-政府侧数据,valid_status,10659,1,0
GOV_DATA,数字资源-政府侧数据,visit_count,10659,1,233
GOV_DATA,数字资源-政府侧数据,domain_name,10659,1,医疗卫生
GOV_DATA,数字资源-政府侧数据,domain_type,10659,1,社会民生类
GOV_DATA,数字资源-政府侧数据,organation_name,10542,0.9890233605403884,科技与标准处（信息化处）
GOV_DATA,数字资源-政府侧数据,data_subject,10659,1,其他类数据资源
GOV_DATA,数字资源-政府侧数据,favorited,10659,1,false
LAB_DATA,数字资源-联合实验室数据,id,678,1,678
LAB_DATA,数字资源-联合实验室数据,biz_unique_id,678,1,1602762886791122962
LAB_DATA,数字资源-联合实验室数据,catalog_id,678,1,"99999,99999999999986,"
LAB_DATA,数字资源-联合实验室数据,catalog_name,678,1,"联合实验室数据,数智消费实验室,"
LAB_DATA,数字资源-联合实验室数据,data_name,678,1,线下消费数据
LAB_DATA,数字资源-联合实验室数据,dept_name,678,1,首都经济贸易大学
LAB_DATA,数字资源-联合实验室数据,description,18,0.02654867256637168,中国消费大数据由首都经济贸易大学与蚂蚁商业联盟共同建设，数据库实时汇总来自全国30个省、市、自治区的9000余家零售商超门店的消费信息。目前，已积累千亿条POS机消费数据，包括商品名称、售价、销售数量、销售时间等核心信息。
LAB_DATA,数字资源-联合实验室数据,service_type,678,1,DATA
LAB_DATA,数字资源-联合实验室数据,create_time,678,1,2026-08-14 14:13:10
LAB_DATA,数字资源-联合实验室数据,update_time,678,1,2026-08-18 00:07:18
LAB_DATA,数字资源-联合实验室数据,data_time,678,1,2026-08-14 14:14:38
LAB_DATA,数字资源-联合实验室数据,del_status,678,1,0
LAB_DATA,数字资源-联合实验室数据,valid_status,678,1,0
LAB_DATA,数字资源-联合实验室数据,sample_data_json,15,0.022123893805309734,"[
    {
        ""企业ID"": ""CAA-01"",
        ""门店ID"": 3,
        ""商品ID"": 1108060000000,
        ""商品条码"": 6972550000000,
"
LAB_DATA,数字资源-联合实验室数据,visit_count,678,1,9
LAB_DATA,数字资源-联合实验室数据,data_source,678,1,true
LAB_DATA,数字资源-联合实验室数据,favorited,678,1,false
LAB_DATA,数字资源-联合实验室数据,key_advantages,7,0.01032448377581121,"•肝胆数标，权威立项：发布中国首个肝癌、肝胆疾病标准化数据团体规范，入选工信部 AI 医疗器械揭榜挂帅优胜项目，行业权威性突出。 
•覆盖全域，多模态配对：覆盖肝、胆、胰全器官 10 余类常见病与疑难重症，包含多项精细化指标，填补肝胆领域"
SOCIAL_DATA,数字资源-社会侧数据,id,2794,1,2794
SOCIAL_DATA,数字资源-社会侧数据,biz_unique_id,2794,1,bss_4
SOCIAL_DATA,数字资源-社会侧数据,product_name,2794,1,铁路货车闸瓦运用故障数据
SOCIAL_DATA,数字资源-社会侧数据,description,2753,0.9853256979241232,集合国家能源集团自备重载铁路货车闸瓦运用故障数据，完成闸瓦运用故障专题数据的监测、持续跟踪及数据资产归档。对闸瓦运用故障进行分级分类，为铁路货车安全关键配件闸瓦质量提供精准故障源头数据
SOCIAL_DATA,数字资源-社会侧数据,description_plain,2753,0.9853256979241232,集合国家能源集团自备重载铁路货车闸瓦运用故障数据，完成闸瓦运用故障专题数据的监测、持续跟踪及数据资产归档。对闸瓦运用故障进行分级分类，为铁路货车安全关键配件闸瓦质量提供精准故障源头数据
SOCIAL_DATA,数字资源-社会侧数据,product_tags,2643,0.9459556191839656,"货车,货车"
SOCIAL_DATA,数字资源-社会侧数据,org_name,2758,0.9871152469577666,国能铁路装备有限责任公司
SOCIAL_DATA,数字资源-社会侧数据,goods_industry,2794,1,无
SOCIAL_DATA,数字资源-社会侧数据,original_url,2794,1,https://mall.bjidex.com/transaction-management/data-product-details?productId=bss_4
SOCIAL_DATA,数字资源-社会侧数据,create_time,2794,1,2026-06-24 14:40:16
SOCIAL_DATA,数字资源-社会侧数据,update_time,2794,1,2026-06-24 14:40:16
SOCIAL_DATA,数字资源-社会侧数据,del_status,2794,1,0
SOCIAL_DATA,数字资源-社会侧数据,valid_status,2794,1,0
SOCIAL_DATA,数字资源-社会侧数据,visit_count,2794,1,0
SOCIAL_DATA,数字资源-社会侧数据,favorited,2794,1,false
HIGH_QUALITY_DATASET,数字资源-高质量数据集,id,364,1,364
HIGH_QUALITY_DATASET,数字资源-高质量数据集,biz_unique_id,364,1,PD2023112716091839
HIGH_QUALITY_DATASET,数字资源-高质量数据集,product_name,364,1,投资风险综合态势
HIGH_QUALITY_DATASET,数字资源-高质量数据集,product_intro,364,1,整合投资领域企业的数据和相关信息，帮助投资者了解融资企业经营情况、降低投资风险。
HIGH_QUALITY_DATASET,数字资源-高质量数据集,detail_desc,364,1,<p>投资决策：投资风险综合态势数据产品可以提供有关监管机构、媒体信息以及公告的相关信息，帮助投资者评估投资标的的可持续性、潜在风险和回报。投资者可以通过对数据进行分析和比较，做出更明智的投资决策。</p>
HIGH_QUALITY_DATASET,数字资源-高质量数据集,detail_desc_plain,364,1,投资决策：投资风险综合态势数据产品可以提供有关监管机构、媒体信息以及公告的相关信息，帮助投资者评估投资标的的可持续性、潜在风险和回报。投资者可以通过对数据进行分析和比较，做出更明智的投资决策。
HIGH_QUALITY_DATASET,数字资源-高质量数据集,industry,364,1,金融业
HIGH_QUALITY_DATASET,数字资源-高质量数据集,field,364,1,未知领域
HIGH_QUALITY_DATASET,数字资源-高质量数据集,use_limit_desc,29,0.07967032967032966,<p>使用用途限制：仅限于在金融行业使用；</p><p>使用范围限制：仅限于在国内地区使用；</p><p>禁止用途：禁止未经授权售卖给第三方。</p>
HIGH_QUALITY_DATASET,数字资源-高质量数据集,use_limit_desc_plain,29,0.07967032967032966,使用用途限制：仅限于在金融行业使用；使用范围限制：仅限于在国内地区使用；禁止用途：禁止未经授权售卖给第三方。
HIGH_QUALITY_DATASET,数字资源-高质量数据集,product_keywords,364,1,"金融,风控,风控"
