统计维度,分类名称,记录数
政府数据-领域,政务管理,1483
政府数据-领域,机构团体,1419
政府数据-领域,财税金融,1121
政府数据-领域,教育文化,1083
政府数据-领域,工业农业,798
政府数据-领域,交通运输,614
政府数据-领域,资源能源,477
政府数据-领域,城建住房,418
政府数据-领域,安全生产,401
政府数据-领域,生态环境,343
政府数据-领域,商贸流通,338
政府数据-领域,社保就业,307
政府数据-领域,科技创新,283
政府数据-领域,法律服务,239
政府数据-领域,审计监督,224
政府数据-领域,市场监管,208
政府数据-领域,体育健身,198
政府数据-领域,退役军人事务,118
政府数据-领域,医疗卫生,91
政府数据-领域,生活服务,74
政府数据-领域,广播电视,74
政府数据-领域,信用服务,72
政府数据-领域,社会救助,62
政府数据-领域,人力资源,53
政府数据-领域,公共安全,52
政府数据-领域,外事侨务,50
政府数据-领域,地理空间,38
政府数据-领域,民族宗教,12
政府数据-领域,气象服务,9
政府数据-部门,北京市人力资源和社会保障局,678
政府数据-部门,北京市交通委员会,583
政府数据-部门,北京市教育委员会,566
政府数据-部门,北京市规划和自然资源委员会,471
政府数据-部门,北京市发展和改革委员会,432
政府数据-部门,北京市财政局,417
政府数据-部门,北京市住房和城乡建设委员会,411
政府数据-部门,北京市政务服务和数据管理局,401
政府数据-部门,北京市园林绿化局,396
政府数据-部门,北京市农业农村局,375
政府数据-部门,北京市市场监督管理局,356
政府数据-部门,北京市统计局,345
政府数据-部门,北京市文化和旅游局,343
政府数据-部门,北京市文物局,341
政府数据-部门,北京市水务局,328
政府数据-部门,北京市应急管理局,325
政府数据-部门,北京市民政局,315
政府数据-部门,北京市城市管理委员会,278
政府数据-部门,北京市生态环境局,278
政府数据-部门,北京市经济和信息化局,259
政府数据-部门,北京市司法局,221
政府数据-部门,北京市科学技术委员会、中关村科技园区管理委员会,201
政府数据-部门,北京市药品监督管理局,192
政府数据-部门,北京市体育局,189
政府数据-部门,中共北京市委金融委员会办公室,166
政府数据-部门,北京市商务局,157
政府数据-部门,北京市城市管理综合行政执法局,130
政府数据-部门,北京市广播电视局,130
政府数据-部门,北京市知识产权局,129
政府数据-部门,北京市医疗保障局,128
政府数据-部门,北京市科学技术协会,121
政府数据-部门,北京市人民政府国有资产监督管理委员会,118
政府数据-部门,北京市退役军人事务局,113
政府数据-部门,北京市总工会,104
政府数据-部门,北京市残疾人联合会,101
政府数据-部门,北京市卫生健康委员会,101
政府数据-部门,北京市国防动员办公室,68
政府数据-部门,北京市粮食和物资储备局,62
政府数据-部门,北京市文化市场综合执法总队,57
政府数据-部门,北京市公园管理中心,41
政府数据-部门,北京市妇女联合会,38
政府数据-部门,北京市投资促进服务中心,36
政府数据-部门,北京住房公积金管理中心,33
政府数据-部门,北京市民族宗教事务委员会,28
政府数据-部门,北京市公安局,23
政府数据-部门,北京市人民政府外事办公室,21
政府数据-部门,北京市重大项目建设指挥部办公室,17
政府数据-部门,北京市重点站区管委会,13
政府数据-部门,北京市人民政府天安门地区管理委员会,11
政府数据-部门,北京市信访办公室,6
政府数据-部门,北京市工商业联合会,3
政府数据-部门,北京市农林科学院,2
政府数据-部门,北京市科学技术研究院,1
政府数据-数据主体,其他类数据资源,3430
政府数据-数据主体,法人类数据资源,1791
政府数据-数据主体,政策文件类数据资源,1691
政府数据-数据主体,区域类数据资源,645
政府数据-数据主体,"法人类数据资源,政策文件类数据资源",591
政府数据-数据主体,"法人类数据资源,区域类数据资源",534
政府数据-数据主体,"个人类数据资源,法人类数据资源",528
政府数据-数据主体,个人类数据资源,494
政府数据-数据主体,"个人类数据资源,法人类数据资源,区域类数据资源",254
政府数据-数据主体,"个人类数据资源,法人类数据资源,政策文件类数据资源",201
政府数据-数据主体,"政策文件类数据资源,区域类数据资源",182
